anchor,line,neg_response
"Hey! I'm a Man. I don't have time for laundry, I'm saving lives here. No, she doesn't wash them either.","So your skin absorbs a little dye, the odd chemical here and there!","Time to do your laundry, huh?"
"Well, you know me. Always living on the edge. Enter Foreman and Chase","Judging by the self importance of your strut, you have identified the chemical in question.","See, this is the brilliance of the show."
"Judging by the self importance of your strut, you have identified the chemical in question. Phosmet.",Hit him with the hydrolase.,Hello. Why do I smell methacrylate?
Park's parents said yes but-,Mighty mom said no. She's gonna feel like million bucks when Park lives and her son dies. Send Cameron. She's the only one who's Managed to talk her into anything.,"So I told Carl, Nobody, no matter how famous their parents are, nobody is allowed to climb on the dinosaur."
What is this?!,"Thought I'd hang out in case you change your mind! and I can give Matt the medicine right away. Don't worry, I've got time.","Ohh! And Im one of them!! Wow! Oh, I just cannot believe this! I mean, Joey Tribbiani!"
The CDC promised they'd call.,They will.,They could call at any second now.
What makes you think you're right this time?,"Same reason as last time. You wanna see how the other kid does first, that's ok. Might help you. But there's a real good chance that-","Yknow what, I think this might be one of the times hes wrong."
What? Matt might kick off?,"A little blunt! I was gonna say run out of time, or just sort of let my voice trail off! Mom's cell goes off",What if I back out and you finish the pitch with Jim?
"Hello? ! Yes this is Margo Davis. ! But you have his records I sent them. ! Yes, I understand. hangs up They can't help me.",They haven't seen him. Can't make a decision based on-,Do you know this man?
"hands House a cell phone. In a fake Southern accent- The CDC is unable to give an opinion at this time, and! we're gonna have a doctor in your area next week.",You fooled her with that?,"Well, heres your phone doctor."
"Some guy was selling pants off the back of his truck near the school. When he wasn't busy as a clothing entrepreneur, he did daily at the cornfield over by route one. Used the same truck for both jobs.","Spilled pesticides on the pants, didn't bother to clean up. So, why are you still here? Why aren't you out there making up with the joyful mother?","Anyway, we followed the guy to this garage sale, and they had the coolest stuff."
Why would I do that?,"No reason at all, you don't care about her or her son.","Yeah. Hey, heres an idea, why dont we use our wedding china today?"
"Oh, Dr. House. The CDC called. Again.",Oops.,"Come on, everyone to the hospital."
"Call an ambulance! Now! Someone in the recording booth does so, as John stops moving.",I want in.,"Michael, do you need me to call an ambulance?"
"John Henry Giles, you a fan of his music?","He's a musician? That paralysis thing, guy can't walk for two years and nobody knows why, that seems mildly interesting.",Local musician? Local legend! I used to come hear you play every week at the Deerhead.
Forget his paralysis.,Tell that to the rest of his bowling team.,And his obsessivecompulsive disorder.
"As far as this hospital is concerned, this is a simple case of lobar pneumonia. Boring.","But that not walking thing, that could turn into something serious!",Dont come to the hospital.
Marty Hamilton is his primary physician out in California. He's dealing with the paralysis.,"Know all about it. Multiple treatments, multiple surgeries. Making real progress. Fixed Everything but the legs.","Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now."
"Dr. Hamilton already called and asked for your team. And by team, I don't mean you.","Like I always say, there's no I in team. There is a me, though, if you jumble it up. They leave her office.","I have already picked my team Darryl, Oscar, Angela, Phyllis and Toby and that is the team that I am taking."
Foreman did his residency with Hamilton.,I know. I did accidentally glance at his resume before I hired him.,"Well, yeah, hed been living with Sheldon."
He wants someone he can trust.,He must have spoken to Foreman's parole Officer.,I want to see what he wants first.
Someone who will stick to the pneumonia. John Henry's on an experimental protocol for the paralysis.,I respect that. I'm not going to get in his way.,"Oh, was it, uh, Dr."
It's Foreman's case. She walks away.,"It's pneumonia, he can handle it. Guy's already paralyzed, how badly can he screw it up?",Doesnt matter. Hes headed for the kitchen anyway.
"Dr. House, is there anything back from Micro?",Not yet. You gonna fire me?,"Any follow up, Amy?"
You can make up for it by washing my car.,"Oh, this is fun. Chase smiles.","I wont. But, you will wash and buff our car."
"Let's keep him on the broad-spectrum antibiotics, and since he's displaying septic physiology, draw blood for adrenal and thyroid function. Cameron and Chase stand up, but House's feet resting on the table block their path.",How about the paralysis?,"Another hospital room, Joey has now been admitted and his doctor is about to break the bad news to him, Monica, and Chandler."
We're sticking to the pneumonia.,"Well, you certainly are, boss. Like a wet tongue sticks to dry ice. Chase and Cameron sit.","Right, Im gonna spend the day in the hospital, bujehh."
The paralysis has already been diagnosed by Dr. Hamilton. It's ALS.,"Lou Gehrig's disease. It's a lovely diagnosis. They make movies about it. No tests, no treatment. It's a disease of exclusion",This poor guys been in a coma for five years.
-- because Hamilton has excluded Everything else.,I haven't. He gets up and takes the board marker from Foreman. What else could it be?,"Alright, wait, so what youre saying is that the chef is at the Hamilton Club, but the food is not and the drinks are there, but the bartender is not?"
"Guillain-Barre, which would be rEversible.","Excellent. He starts to write, but Foreman takes the marker away from him.","According to a recent survey, this is the most common learning disability among American adolescents."
Antibodies could be attacking the nerve. Multifocal motor neuropathy.,"Uncommon, but it fits. It's also treatable. Did Hamilton try putting the guy on IVIG?",The cause appears to be manticore venom.
"No, because the MRI showed","Well, let's do an MRI of our own. Chase and Cameron get up.","No! Shoot, Dr. Schiff what kind of question is that?!"
Guys? It's my case. They sit down again. ALS fits. It Even predicts the pneumonia. The paralysis is progressive.,It's a death sentence.,"No, no, no."
He signed a DNR.,takes headphones off He rhymes with dinner?,Theres a reciprocity clause.
He signed a DNR.,Oh. That makes more sense. You tell him it might not be ALS?,What? I didnt sign it yet.
You tell him it might not be ALS? No.,"Well, no wonder he signed. Who wouldn't?","Mm. Got it. Well, you tell Mose that hes a good man and that I hope he feels better."
I started him on IV steroids and ancinthroid. sp?,"Great. If it was my case, I'd be adding a little IVIG to the mix.","Your boyfriend is so weak, he needs steroids just to watch baseball."
For his pneumonia?,That's my story and I'm sticking to it.,"Hes under sedation, so hes pretty much out."
